"Component  ","Description  ","Line length  ","R (per km) propagation mode or sequence data [3] ","L (per km) propagation mode or sequence data [3] ","C (per km) propagation mode or sequence data [3] ","Base power  ","Base voltage  ","Base frequency  ","EMTP (.pun) file for line parameters calculation ","Continuously transposed line ","Transformation matrix Untransposed line [9] ","L-C units in EMTP (.pun) file "
line_1202_to_1242_1,0.0,467.1283380561386000,[0.8723348830344471 0.08723348830344471 0.08723348830344471],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.6686446358988135E-8 3.337289271797627E-8 3.337289271797627E-8],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1203_to_1210_1,0.0,2339.904366989885000,[1.278789547162295 0.1278789547162295 0.1278789547162295],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.922129145104278e-009 1.384425829020856e-008 1.384425829020856e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1203_to_1380_1,0.0,5720.952247619359000,[1.120814646494562 0.1120814646494562 0.1120814646494562],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.939442350230152e-009 1.18788847004603e-008 1.18788847004603e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1204_to_1293_1,0.0,60430.27673795898000,[1.034350097510288 0.1034350097510288 0.1034350097510288],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.785193752281195e-009 1.157038750456239e-008 1.157038750456239e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1204_to_1293_2,0.0,64644.79571844875000,[1.103955752646171 0.1103955752646171 0.1103955752646171],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.668460641528046e-009 1.133692128305609e-008 1.133692128305609e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1204_to_1306_1,0.0,11174.32957844584000,[0.6472563925971918 0.06472563925971918 0.06472563925971918],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.534157333388799e-008 3.068314666777597e-008 3.068314666777597e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1204_to_1361_1,0.0,16000.09060694077000,[1.829996119319465 0.1829996119319466 0.1829996119319466],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.430590016962149e-009 1.08611800339243e-008 1.08611800339243e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1204_to_1475_1,0.0,7430.740629537877000,[0.6585767179583939 0.06585767179583939 0.06585767179583939],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[1.406825715603764e-008 2.813651431207529e-008 2.813651431207529e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1205_to_1214_1,0.0,37363.21690441023000,[1.059992452770681 0.1059992452770682 0.1059992452770682],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.951188201188129e-009 1.190237640237626e-008 1.190237640237626e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1205_to_1263_1,0.0,43598.5544041875000,[1.738337631295019 0.1738337631295019 0.1738337631295019],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[5.401031570349087e-009 1.080206314069817e-008 1.080206314069817e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1205_to_1359_1,0.0,35069.8877057188000,[1.08790488084871 0.108790488084871 0.108790488084871],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.929205458920488e-009 1.185841091784098e-008 1.185841091784098e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1205_to_1433_1,0.0,96848.28529247078000,[1.798221906772997 0.1798221906772997 0.1798221906772997],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.571716957957244e-009 1.114343391591449e-008 1.114343391591449e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1205_to_1485_1,0.0,5227.009724245596000,[2.231394747951414 0.2231394747951414 0.2231394747951414],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.452608994350165e-009 1.090521798870033e-008 1.090521798870033e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1205_to_1487_1,0.0,15685.47669599771000,[1.793486517790988 0.1793486517790988 0.1793486517790988],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.464309888848248e-009 1.09286197776965e-008 1.09286197776965e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1206_to_1274_1,0.0,31871.16609837537000,[1.660062731468629 0.1660062731468629 0.1660062731468629],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.168475974217311e-009 1.033695194843462e-008 1.033695194843462e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1206_to_1296_1,0.0,94202.24160955235000,[1.869079128327356 0.1869079128327356 0.1869079128327356],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.840351407519595e-009 1.168070281503919e-008 1.168070281503919e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1206_to_1296_2,0.0,90476.70970310247000,[1.822685335417067 0.1822685335417067 0.1822685335417067],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.745151386538752e-009 1.14903027730775e-008 1.14903027730775e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1206_to_1324_1,0.0,37400.29552851128000,[2.373241934824826 0.2373241934824826 0.2373241934824826],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.011663208595816e-009 1.002332641719163e-008 1.002332641719163e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1206_to_1414_1,0.0,61438.38122345543000,[1.782408379081288 0.1782408379081288 0.1782408379081288],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.070485173902618e-009 1.014097034780524e-008 1.014097034780524e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1206_to_1481_1,0.0,125215.4682799661000,[1.739679108708375 0.1739679108708375 0.1739679108708375],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.538745803940648e-009 1.10774916078813e-008 1.10774916078813e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1206_to_1646_1,0.0,19012.97389676886000,[1.740263280250991 0.1740263280250991 0.1740263280250991],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.589656385323997e-009 1.117931277064799e-008 1.117931277064799e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1207_to_1473_1,0.0,82879.75242892861000,[1.617628910571667 0.1617628910571667 0.1617628910571667],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.713715277104934e-009 1.142743055420987e-008 1.142743055420987e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1207_to_1562_1,0.0,917.3830448282378000,[2.078343642302363 0.2078343642302362 0.2078343642302362],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.469794822431898e-009 1.49395896448638e-008 1.49395896448638e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1208_to_1293_1,0.0,73495.1121712665000,[1.826809869700849 0.1826809869700849 0.1826809869700849],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.481788581218498e-009 1.0963577162437e-008 1.0963577162437e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1211_to_1222_1,0.0,91115.07295125324000,[1.135894227731522 0.1135894227731522 0.1135894227731522],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[9.440779478717641e-009 1.888155895743528e-008 1.888155895743528e-008],33333333.33333333,127017.0592217177,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1212_to_1309_1,0.0,1080.235187484531000,[1.20052205451819 0.120052205451819 0.120052205451819],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[8.751097656516986e-007 1.750219531303397e-006 1.750219531303397e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1212_to_1391_1,0.0,1941.160988719189000,[1.203652198853209 0.1203652198853209 0.1203652198853209],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.0249998816928e-006 2.0499997633856e-006 2.0499997633856e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1212_to_1391_2,0.0,2015.758854173538000,[1.116040073654365 0.1116040073654365 0.1116040073654365],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[9.431129761516664e-007 1.886225952303333e-006 1.886225952303333e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1213_to_1250_1,0.0,272.8474061347042000,[4.091164601860537 0.4091164601860536 0.4091164601860536],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.93279706057403e-007 3.86559412114806e-007 3.86559412114806e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1213_to_1266_1,0.0,2849.11240839824000,[1.257929317787065 0.1257929317787065 0.1257929317787065],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.523022511893876e-009 1.304604502378775e-008 1.304604502378775e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1214_to_1223_1,0.0,4146.907500394563000,[1.646805055860553 0.1646805055860553 0.1646805055860553],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.528417935650793e-009 1.305683587130159e-008 1.305683587130159e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1214_to_1359_1,0.0,637.8431946871774000,[1.197953836165909 0.1197953836165909 0.1197953836165909],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[8.947267403329016E-9 1.7894534806658036E-8 1.7894534806658036E-8],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1214_to_1605_1,0.0,88455.44258873232000,[1.776253860469565 0.1776253860469565 0.1776253860469565],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.809484294109082e-009 1.161896858821816e-008 1.161896858821816e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1215_to_1216_1,0.0,126.8635871303344000,[0.6648561823259724 0.06648561823259724 0.06648561823259724],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[2.2616586666732636E-7 4.523317333346527E-7 4.523317333346527E-7],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1215_to_1320_1,0.0,5431.852705258699000,[0.7353387453413126 0.07353387453413127 0.07353387453413127],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[1.370012053333371e-008 2.740024106666741e-008 2.740024106666741e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1217_to_1222_1,0.0,159942.1010059056000,[1.181948240336242 0.1181948240336242 0.1181948240336242],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[9.244968388714781e-009 1.848993677742956e-008 1.848993677742956e-008],33333333.33333333,127017.0592217177,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1218_to_3473_1,0.0,18256.28285658799000,[2.034823381446472 0.2034823381446472 0.2034823381446472],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.911888824756225e-009 1.182377764951245e-008 1.182377764951245e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1218_to_3473_2,0.0,19704.95910548445000,[1.928401130660244 0.1928401130660244 0.1928401130660244],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.182743875980489e-009 1.036548775196098e-008 1.036548775196098e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1219_to_1389_1,0.0,3728.217017721418000,[0.6210540437648691 0.06210540437648691 0.06210540437648691],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.196397870633221e-007 8.392795741266442e-007 8.392795741266442e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1220_to_1232_1,0.0,1311.743121494266000,[0.6328822550785735 0.06328822550785736 0.06328822550785736],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[3.765272932735595e-007 7.530545865471191e-007 7.530545865471191e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1220_to_1232_2,0.0,1351.656171520792000,[0.7019182606254276 0.07019182606254276 0.07019182606254276],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[3.583252523493257e-007 7.166505046986515e-007 7.166505046986515e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1220_to_1471_1,0.0,1135.901704324218000,[0.6792810537861715 0.06792810537861715 0.06792810537861715],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.618039538541595e-007 9.23607907708319e-007 9.23607907708319e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1221_to_1272_1,0.0,3004.234534748756000,[0.6610724928602213 0.06610724928602213 0.06610724928602213],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.022558839497566e-006 2.045117678995131e-006 2.045117678995131e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1221_to_1316_1,0.0,428.8812710878754000,[0.5618072007233761 0.05618072007233762 0.05618072007233762],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.440727421957455e-007 1.088145484391491e-006 1.088145484391491e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1221_to_1372_1,0.0,583.9866767473627000,[2.242517169728715 0.2242517169728715 0.2242517169728715],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.064051420676419e-006 2.128102841352838e-006 2.128102841352838e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1221_to_1373_2,0.0,563.1886722570515000,[2.290945477131834 0.2290945477131834 0.2290945477131834],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.069659631134749e-006 2.139319262269498e-006 2.139319262269498e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1221_to_1441_1,0.0,5923.341998376896000,[0.6581604037974731 0.06581604037974732 0.06581604037974732],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[1.000205293224569e-006 2.000410586449137e-006 2.000410586449137e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1221_to_1460_2,0.0,408.4994253762139000,[2.358500180958243 0.2358500180958243 0.2358500180958243],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[9.792473279004629e-007 1.958494655800926e-006 1.958494655800926e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1221_to_1461_1,0.0,405.8274916028418000,[2.247397607317864 0.2247397607317864 0.2247397607317864],[0.004774648292756862 0.001591549430918953 0.001591549430918953],[1.030194520403131e-006 2.060389040806261e-006 2.060389040806261e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1222_to_2162_1,0.0,14836.0990453656000,[1.157838643841884 0.1157838643841884 0.1157838643841884],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[9.545931164884727e-009 1.909186232976945e-008 1.909186232976945e-008],33333333.33333333,127017.0592217177,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1223_to_1381_1,0.0,24355.53314562149000,[1.703511091194367 0.1703511091194367 0.1703511091194367],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.528127119946344e-009 1.305625423989269e-008 1.305625423989269e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1224_to_1236_1,0.0,3850.152307220166000,[1.21728989016427 0.121728989016427 0.121728989016427],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.540324606556736e-009 1.308064921311347e-008 1.308064921311347e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1224_to_1415_1,0.0,281.9672575282798000,[1.074085296895104 0.1074085296895104 0.1074085296895104],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[2.148842419881447e-007 4.297684839762895e-007 4.297684839762895e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
